epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.0892,0.79351,0.85366,1,0.36755,0.00034296,0.00034296,0.00034296
2,8.85702,0.47723,0.82927,1,0.20264,0.000686346,0.000686346,0.000686346
3,12.3589,0.37464,0.95122,1,0.14725,0.00101558,0.00101558,0.00101558
4,15.8579,0.32487,0.85366,1,0.284,0.00133068,0.00133068,0.00133068
5,18.8703,0.25661,0.87805,1,0.34845,0.00131582,0.00131582,0.00131582
6,22.1384,0.33282,0.97561,1,0.05769,0.00128753,0.00128753,0.00128753
7,25.0592,0.23258,0.82927,1,0.46436,0.00125923,0.00125923,0.00125923
8,28.4108,0.20949,0.85366,1,0.61658,0.00123094,0.00123094,0.00123094
9,31.5092,0.19576,0.92683,1,0.23138,0.00120265,0.00120265,0.00120265
10,34.769,0.24262,0.97561,1,0.05363,0.00117435,0.00117435,0.00117435
11,37.8687,0.26816,0.92683,1,0.18256,0.00114606,0.00114606,0.00114606
12,41.2871,0.22004,0.85366,1,0.27161,0.00111776,0.00111776,0.00111776
13,44.2358,0.11442,0.90244,1,0.33221,0.00108947,0.00108947,0.00108947
14,47.5453,0.14248,0.95122,1,0.08335,0.00106118,0.00106118,0.00106118
15,50.6399,0.19463,0.95122,1,0.0864,0.00103288,0.00103288,0.00103288
16,54.0226,0.20786,0.97561,1,0.33829,0.00100459,0.00100459,0.00100459
17,57.0835,0.162,0.95122,1,0.08351,0.000976293,0.000976293,0.000976293
18,60.4741,0.11713,0.92683,1,0.07161,0.000947999,0.000947999,0.000947999
19,63.0907,0.08945,1,1,0.02459,0.000919704,0.000919704,0.000919704
20,66.4498,0.09071,0.97561,1,0.06667,0.00089141,0.00089141,0.00089141
21,69.8488,0.19726,1,1,0.02746,0.000863116,0.000863116,0.000863116
22,72.8517,0.12322,0.97561,1,0.0503,0.000834822,0.000834822,0.000834822
23,76.4004,0.10303,0.95122,1,0.08243,0.000806528,0.000806528,0.000806528
24,79.5082,0.06808,0.97561,1,0.09023,0.000778233,0.000778233,0.000778233
25,82.9926,0.33191,0.95122,1,0.04456,0.000749939,0.000749939,0.000749939
26,86.4228,0.07127,0.97561,1,0.06516,0.000721645,0.000721645,0.000721645
27,89.5335,0.20423,1,1,0.00677,0.000693351,0.000693351,0.000693351
28,93.1043,0.04162,0.97561,1,0.0596,0.000665057,0.000665057,0.000665057
29,96.0065,0.05591,0.97561,1,0.02355,0.000636762,0.000636762,0.000636762
30,99.0576,0.09205,0.97561,1,0.04349,0.000608468,0.000608468,0.000608468
31,101.969,0.05957,0.97561,1,0.02132,0.000580174,0.000580174,0.000580174
32,105.136,0.04062,1,1,0.00788,0.00055188,0.00055188,0.00055188
33,108.012,0.13044,1,1,0.00432,0.000523586,0.000523586,0.000523586
34,110.946,0.09504,1,1,0.0124,0.000495291,0.000495291,0.000495291
35,114.223,0.08325,1,1,0.00598,0.000466997,0.000466997,0.000466997
36,117.443,0.05792,0.97561,1,0.05249,0.000438703,0.000438703,0.000438703
37,122.335,0.0272,0.97561,1,0.02561,0.000410409,0.000410409,0.000410409
38,127.17,0.03626,1,1,0.00891,0.000382115,0.000382115,0.000382115
39,131.992,0.14891,1,1,0.01584,0.00035382,0.00035382,0.00035382
40,136.33,0.1243,1,1,0.00488,0.000325526,0.000325526,0.000325526
41,164.128,0.05031,1,1,0.00283,0.000297232,0.000297232,0.000297232
42,169,0.02189,1,1,0.00729,0.000268938,0.000268938,0.000268938
43,173.455,0.03367,1,1,0.00952,0.000240644,0.000240644,0.000240644
44,178.459,0.02211,1,1,0.00372,0.000212349,0.000212349,0.000212349
